,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,5.829728943555746
5,logXiH,5.5641388215400935
6,kappa,3.3644279374641406
7,q,0.877676853251516
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.2452379478909743
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.7899978831701545
16,sigmaQ,1.7756607017475892
17,sigmaR,1.7756607017475892
18,deltaE,1.632184606820319
19,deltaH,1.670845952183523
20,PiH,1.1208454736284066
21,PiE,9.708860196313292
22,betaE,37.7336014544264
23,betaH,4.387127412345868
24,muW,0.7087299722995529
25,muQ,103.69422536929336
26,r,102.9654116783376
27,dent,0.0032796537105544794
28,Fe,106.86783809185522
29,firstCoefsE,0.7087299722995529
30,secondCoefsE,0.04167323266370002
31,Fh,103.00967098379803
32,firstCoefsH,0.7087299722995529
33,secondCoefsH,0.04167323266370002
34,HJB_E,6.286166081804766
35,HJB_H,9.36025690124004
36,kappa_min,0.18727438388267578
